name ts   x y z   roll pitch yaw  err delay
HR_6 1776353915.313922000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   2.8e-05
QR_4 1776353915.313922000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   2.8e-05
HR_6 1776353915.323922000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   3.9e-05
QR_4 1776353915.323922000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   3.9e-05
HR_6 1776353915.333922000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   0.000775
QR_4 1776353915.333922000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   0.000775
HR_6 1776353915.343922000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   5.4e-05
QR_4 1776353915.343922000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   5.4e-05
HR_6 1776353915.353922000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   3.9e-05
QR_4 1776353915.353922000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   3.9e-05
HR_6 1776353915.363922000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   5.5e-05
QR_4 1776353915.363922000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   5.5e-05
HR_6 1776353915.373923000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   0.000302
QR_4 1776353915.373923000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   0.000302
HR_6 1776353915.383923000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   2e-06
QR_4 1776353915.383923000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   2e-06
HR_6 1776353915.393923000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   5.2e-05
QR_4 1776353915.393923000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   5.2e-05
HR_6 1776353915.403923000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   1.6e-05
QR_4 1776353915.403923000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   1.6e-05
HR_6 1776353915.413923000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   0.000484
QR_4 1776353915.413923000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   0.000484
